ordem_triagem;dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;n_nao_coletado;motivo_nao_coleta;direitos_titular_explicados;finalidade_especificada;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;transf_internacional_divulgada;direitos_titular_explicados__confianca;finalidade_especificada__confianca;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;transf_internacional_divulgada__confianca;direitos_titular_explicados__n_sentencas;direitos_titular_explicados__n_segmentos;direitos_titular_explicados__densidade;finalidade_especificada__n_sentencas;finalidade_especificada__n_segmentos;finalidade_especificada__densidade;transf_internacional_divulgada__n_sentencas;transf_internacional_divulgada__n_segmentos;transf_internacional_divulgada__densidade;extrapolacao;domain_url;run_id;protocol_version
11;moviecom.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://moviecom.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
12;netdeal.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://netdeal.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
13;peer-1.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://peer-1.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
14;prospin.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://prospin.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
15;redacao.pr.gov.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://redacao.pr.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
16;simepar.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://simepar.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
17;singulare.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://singulare.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
18;skypecas.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://skypecas.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
19;uespi.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://uespi.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
20;utmify.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://utmify.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
21;valueserver.net.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://valueserver.net.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
22;yamaha-motor.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://yamaha-motor.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
23;lomadee.com.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;true;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://lomadee.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
24;me.com.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;false;true;false;nao_aplicavel;0.0;0.0;0.95;0.7897;0.95;0.0;;;;;;;;;;false;https://me.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
25;nipotech.com.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;true;false;false;nao_aplicavel;0.0;0.0;0.65;0.0822;0.95;0.0;;;;;;;;;;false;https://nipotech.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
26;ufersa.edu.br;2;3;3;0;;nao_aplicavel;nao_aplicavel;true;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ufersa.edu.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
27;hospedameusite.com.br;1;3;3;0;;nao_aplicavel;nao_aplicavel;true;true;false;nao_aplicavel;0.0;0.0;0.95;0.8685;0.95;0.0;;;;;;;;;;false;https://hospedameusite.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
28;algar.com.br;4;6;0;0;;false;false;true;false;true;false;0.0;0.0;0.95;0.0822;0.65;0.0;0;0;;0;0;;0;0;;false;https://algar.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
29;boomsistemas.com.br;4;6;0;0;;false;true;false;false;true;false;0.0204;0.3636;0.95;0.0822;0.65;0.0006;0;31;0.0;3;31;0.096774;0;31;0.0;false;https://boomsistemas.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
30;brinox.com.br;4;6;0;0;;false;true;false;false;true;false;0.0473;0.2527;0.95;0.0822;0.65;0.0044;0;46;0.0;5;46;0.108696;0;46;0.0;false;https://brinox.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
31;linkcorreios.com.br;4;6;0;0;;false;true;false;false;true;false;0.0311;0.9336;0.95;0.0822;0.65;0.0008;0;60;0.0;14;60;0.233333;0;60;0.0;false;https://linkcorreios.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
32;netflu.com.br;4;6;0;0;;false;true;false;false;true;false;0.0375;0.7264;0.95;0.0822;0.65;0.0058;0;36;0.0;6;36;0.166667;0;36;0.0;false;https://netflu.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
33;telegrupos.com.br;4;6;0;0;;false;true;false;false;true;false;0.0306;0.7666;0.95;0.0822;0.65;0.0053;0;169;0.0;44;169;0.260355;0;169;0.0;false;https://telegrupos.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
34;crazy-time-brazil.com.br;3;6;0;0;;true;true;false;false;true;false;0.5194;0.4422;0.95;0.3493;0.65;0.0016;1;32;0.03125;7;32;0.21875;0;32;0.0;false;https://crazy-time-brazil.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
35;diariodoestadogo.com.br;3;6;0;0;;true;true;false;false;true;false;0.1728;0.8757;0.95;0.2339;0.65;0.0038;1;59;0.016949;16;59;0.271186;0;59;0.0;false;https://diariodoestadogo.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
36;encurtador.com.br;3;6;0;0;;true;true;false;false;true;false;0.2825;0.7514;0.95;0.0822;0.95;0.0014;1;94;0.010638;23;94;0.244681;0;94;0.0;false;https://encurtador.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
37;euamomomi.com.br;3;6;0;0;;false;true;true;false;true;false;0.0542;0.5507;0.65;0.0822;0.95;0.0021;0;48;0.0;15;48;0.3125;0;48;0.0;false;https://euamomomi.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
38;inweb.com.br;3;6;0;0;;false;true;false;false;true;true;0.0283;0.5902;0.95;0.0822;0.65;0.0094;0;47;0.0;9;47;0.191489;2;47;0.042553;false;https://inweb.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
39;portal6.com.br;3;6;0;0;;false;true;true;false;true;false;0.0204;0.8566;0.65;0.0822;0.65;0.0033;0;105;0.0;35;105;0.333333;0;105;0.0;false;https://portal6.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
40;rihappy.com.br;3;6;0;0;;false;true;true;false;true;false;0.012;0.6737;0.95;0.3634;0.65;0.0028;0;230;0.0;70;230;0.304348;0;230;0.0;false;https://rihappy.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
41;somostodosum.com.br;3;6;0;0;;false;true;true;false;true;false;0.0162;0.7504;0.95;0.0822;0.65;0.0069;0;55;0.0;8;55;0.145455;0;55;0.0;false;https://somostodosum.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
42;voxus.com.br;3;6;0;0;;false;true;false;false;true;true;0.0856;0.5153;0.95;0.0822;0.95;0.0084;0;96;0.0;32;96;0.333333;1;96;0.010417;false;https://voxus.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
43;autentique.com.br;2;6;0;0;;true;true;false;true;true;false;0.4805;0.85;0.95;0.9648;0.95;0.0073;1;178;0.005618;55;178;0.308989;0;178;0.0;false;https://autentique.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
44;cebraspe.org.br;2;6;0;0;;true;true;false;false;true;true;0.8766;0.5008;0.95;0.3635;0.95;0.207;3;262;0.01145;59;262;0.225191;2;262;0.007634;false;https://cebraspe.org.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
45;jucemg.mg.gov.br;2;6;0;0;;true;true;true;false;true;false;0.2462;0.6776;0.95;0.0822;0.95;0.0034;3;262;0.01145;61;262;0.232824;0;262;0.0;false;https://jucemg.mg.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
46;noticiasagricolas.com.br;2;6;0;0;;true;true;false;false;true;true;0.9998;0.7069;0.95;0.3493;0.95;0.0198;11;146;0.075342;23;146;0.157534;3;146;0.020548;false;https://noticiasagricolas.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
47;pebmed.com.br;2;6;0;0;;false;true;true;true;true;false;0.042;0.9171;0.95;0.9168;0.95;0.0042;0;105;0.0;28;105;0.266667;0;105;0.0;false;https://pebmed.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
48;pechinchou.com.br;2;6;0;0;;true;true;true;false;true;false;0.8548;0.8034;0.95;0.3493;0.95;0.0066;5;81;0.061728;18;81;0.222222;0;81;0.0;false;https://pechinchou.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
49;pmt.pi.gov.br;2;6;0;0;;true;true;true;false;true;false;0.902;0.5108;0.95;0.3493;0.95;0.008;7;76;0.092105;19;76;0.25;0;76;0.0;false;https://pmt.pi.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
50;bompracredito.com.br;1;6;0;0;;true;true;false;true;true;true;0.9658;0.9408;0.95;0.9797;0.95;0.0578;19;222;0.085586;60;222;0.27027;2;222;0.009009;false;https://bompracredito.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
51;comprasparaguai.com.br;1;6;0;0;;true;true;true;true;true;false;0.9207;0.831;0.95;0.7897;0.95;0.0028;8;151;0.05298;44;151;0.291391;0;151;0.0;false;https://comprasparaguai.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
52;fazaboa.com.br;1;6;0;0;;true;true;false;true;true;true;0.9518;0.7505;0.95;0.7897;0.95;0.0484;8;137;0.058394;29;137;0.211679;2;137;0.014599;false;https://fazaboa.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
53;gazetadopovo.com.br;1;6;0;0;;true;true;false;true;true;true;0.8883;0.9234;0.95;0.9851;0.95;0.1172;12;606;0.019802;208;606;0.343234;7;606;0.011551;false;https://gazetadopovo.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
54;letras.com.br;1;6;0;0;;true;true;false;true;true;true;0.6788;0.8895;0.95;0.6469;0.95;0.0151;2;216;0.009259;42;216;0.194444;1;216;0.00463;false;https://letras.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
55;pmweb.com.br;1;6;0;0;;true;true;false;true;true;true;0.6892;0.4343;0.95;0.994;0.95;0.0539;3;82;0.036585;17;82;0.207317;3;82;0.036585;false;https://pmweb.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
56;stealthelook.com.br;1;6;0;0;;true;true;false;true;true;true;0.8255;0.9801;0.95;0.9995;0.95;0.9914;10;393;0.025445;71;393;0.180662;4;393;0.010178;false;https://stealthelook.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
57;unoesc.edu.br;1;6;0;0;;true;true;true;true;true;false;0.6767;0.9534;0.95;0.994;0.95;0.0045;3;265;0.011321;50;265;0.188679;0;265;0.0;false;https://unoesc.edu.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
58;upp.com.br;1;6;0;0;;true;true;false;true;true;true;0.9323;0.8732;0.95;0.994;0.95;0.9145;20;423;0.047281;112;423;0.264775;4;423;0.009456;false;https://upp.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
59;abnt.org.br;0;6;0;0;;true;true;true;true;true;true;0.9578;0.9534;0.95;0.9984;0.95;0.0123;5;223;0.022422;38;223;0.170404;1;223;0.004484;false;https://abnt.org.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
60;b3.com.br;0;6;0;0;;true;true;true;true;true;true;0.9894;0.9287;0.95;0.9906;0.95;0.7528;36;493;0.073022;122;493;0.247465;7;493;0.014199;false;https://b3.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
61;bancobmg.com.br;0;6;0;0;;true;true;true;true;true;true;0.8883;0.8774;0.95;0.994;0.95;0.6175;31;714;0.043417;174;714;0.243697;20;714;0.028011;false;https://bancobmg.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
62;bs2.com.br;0;6;0;0;;true;true;true;true;true;true;0.9294;0.1601;0.95;0.6469;0.95;0.0095;1;21;0.047619;3;21;0.142857;1;21;0.047619;false;https://bs2.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
63;cidadania.gov.br;0;6;0;0;;true;true;true;true;true;true;0.8424;0.9916;0.95;0.6469;0.95;0.9307;7;437;0.016018;121;437;0.276888;3;437;0.006865;false;https://cidadania.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
64;cifras.com.br;0;6;0;0;;true;true;true;true;true;true;0.6788;0.8895;0.95;0.6469;0.95;0.0151;2;216;0.009259;42;216;0.194444;1;216;0.00463;false;https://cifras.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
65;comprasnet.gov.br;0;6;0;0;;true;true;true;true;true;true;0.9084;0.9916;0.95;0.6469;0.95;0.9307;13;546;0.02381;111;546;0.203297;2;546;0.003663;false;https://comprasnet.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
66;cora.com.br;0;6;0;0;;true;true;true;true;true;true;0.9951;0.9365;0.65;0.994;0.95;0.2259;4;293;0.013652;84;293;0.286689;5;293;0.017065;false;https://cora.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
67;detran.es.gov.br;0;6;0;0;;true;true;true;true;true;true;0.896;0.5962;0.65;0.774;0.95;0.0943;17;159;0.106918;32;159;0.201258;1;159;0.006289;false;https://detran.es.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
68;drogariasaopaulo.com.br;0;6;0;0;;true;true;true;true;true;true;0.9989;0.8326;0.95;0.992;0.95;0.3852;16;838;0.019093;218;838;0.260143;13;838;0.015513;false;https://drogariasaopaulo.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
69;eneldistribuicao.com.br;0;6;0;0;;true;true;true;true;true;true;0.9342;0.3475;0.95;0.9851;0.95;0.1631;6;50;0.12;8;50;0.16;4;50;0.08;false;https://eneldistribuicao.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
70;grupofleury.com.br;0;6;0;0;;true;true;true;true;true;true;0.5242;0.9105;0.95;0.994;0.95;0.0119;4;164;0.02439;44;164;0.268293;1;164;0.006098;false;https://grupofleury.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
71;invictus.com.br;0;6;0;0;;true;true;true;true;true;true;0.7946;0.7366;0.65;0.8754;0.95;0.6373;12;284;0.042254;73;284;0.257042;5;284;0.017606;false;https://invictus.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
72;meliuz.com.br;0;6;0;0;;true;true;true;true;true;true;0.7762;0.8877;0.65;0.8892;0.95;0.0107;2;780;0.002564;354;780;0.453846;2;780;0.002564;false;https://meliuz.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
73;omie.com.br;0;6;0;0;;true;true;true;true;true;true;0.8962;0.92;0.95;0.994;0.95;0.1507;9;238;0.037815;53;238;0.222689;6;238;0.02521;false;https://omie.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
74;rd.com.br;0;6;0;0;;true;true;true;true;true;true;0.8883;0.7705;0.95;0.9999;0.95;0.2824;14;320;0.04375;91;320;0.284375;2;320;0.00625;false;https://rd.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
75;saboresajinomoto.com.br;0;6;0;0;;true;true;true;true;true;true;0.8817;0.9708;0.95;0.9851;0.95;0.458;10;316;0.031646;101;316;0.31962;6;316;0.018987;false;https://saboresajinomoto.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
76;spcbrasil.com.br;0;6;0;0;;true;true;true;true;true;true;0.1533;0.7501;0.95;0.994;0.95;0.0102;1;63;0.015873;13;63;0.206349;2;63;0.031746;false;https://spcbrasil.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
77;unimeduberaba.com.br;0;6;0;0;;true;true;true;true;true;true;0.8883;0.974;0.95;0.994;0.95;0.4811;11;337;0.032641;92;337;0.272997;2;337;0.005935;false;https://unimeduberaba.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
78;unipampa.edu.br;0;6;0;0;;true;true;true;true;true;true;0.875;0.531;0.95;0.6469;0.95;0.1269;2;485;0.004124;40;485;0.082474;7;485;0.014433;false;https://unipampa.edu.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
79;noataque.com.br;2;2;0;4;desafio_anti_bot;nao_coletado;nao_coletado;false;false;nao_coletado;nao_coletado;0.0;0.0;0.95;0.0822;0.0;0.0;;;;;;;;;;false;https://noataque.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
80;radios.com.br;2;2;0;4;desafio_anti_bot;nao_coletado;nao_coletado;false;false;nao_coletado;nao_coletado;0.0;0.0;0.95;0.0822;0.0;0.0;;;;;;;;;;false;https://radios.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
